리뷰내용,별점,리뷰동조자수
"업뎃을 할 수록 정확성이 떨어지네요. 품절인 상품에 sold out 표시 안되는 경우↑/쇼핑몰에서 업뎃된 상품인데 스타일닷컴에서는 보이지 않는 경우↑/비슷한 상품 찾기의 결과 개수↑ but 비슷한 느낌↓/ 그리고) 가격대 설정이 만원대 단위라 튕기면 답이 없네요. 예를 들어 10,000원부터 시작해서 17,000까지 봤는데 튕기면 다시 10,000원부터 봐야됩니다. 천원대 단위, 아니면 적어도 오천원대 단위로 변경하면 좋겠습니다. 튕기는 게 고쳐질 것 같진 않으니 세부 기능이 진화할 수 밖에 없지 않을까요.",3,19
"피드백 1. 느림 관심상품(하트)하려면 3초 뒤쯤 등록완료 됨. 3초 짧지만 써보면 불편 2. 관심상품을 많이 보관 할 순 있지만 ""관리"" 할 수 없음 장점도 깍는 단점. 앱 자체에서 관심상품을 카테고리 별로 볼수 있도록 하던가 사용자가 직접 자신이 원하는 스타일, 카테고리로 관리 하도록 하던가 해야함(폴더형식처럼) 관리가 되지 않으니 많이 보관해봤자.. 3. 카테고리 선택을 중복으로 할 수 없다는 점 예로 신발, 가방을 한번에 보고 싶은데 중복선택이 안되니 각각 봐야함. 많이 불편한 사항은 아님. 하지만 단일선택만 가능한 것 보다 좋으면 좋지 나쁠건 없음. 장점 1. 필터로 세일 중인 상품만 보기와 상세검색이 가능 세일 중인 상품만 보기는 잘 사용하지 않지만 다른 앱에서 본적 없음, 언젠간 쓰일 기능. 또 원하는 카테고리만 봐도 샵이 많아 상품도 많은데 상세검색 잘 활용하면 원하는 제품 빨리 찾기 가능 2. 보세부터 명품 브랜드까지 샵의 스펙트럼이 넓음 장점더많은데글자수제한..",3,13
"앱 자체는 괜찮습니다. 보세가 아닌 브랜드만을 모아 볼 수 있는 점과 브랜드 별, 아이템 별 검색이 가능한 점 등이 이 앱이 기본적인 기능을 하고 있음을 느끼게 해줍니다. 다만 구매하려고 한 상품이 품절일 때도 목록에 그대로 노출되며, 별다른 안내가 없어 마치 무한 로딩처럼 보이는 점, 데이터 사용시 타 앱에 비해 소비량이 큰 점 등이 아쉽습니다.",3,12
"아 일단 앱자체가 굉장히 깔끔하고 잘 정리되어 있어서 편리하다는 말을 하고싶습니다 정말 지그재그나 스타일썸 같은 이런 비슷한 앱 중에서도 1위라고 해도 과언이 아닐 정도로 편리하고 편리하고 편리한 앱입니다 특히나도 이런 앱들과 차별화 된건 '브랜드' 를 추가하여 소호와 브랜드를 구분하였기 때문인 것 같네요 다만 사용하다보면 한가지 부족한점 불편한점을 종종 느낍니다 다른 앱들에 비해 소호 쇼핑몰수가 꽤 작다는것입니다 이럴때면 네이버에 없는 쇼핑몰 하나하나 찾아갔다 나왔다 찾아갔다를 반복해야하고 결국 가치도는 떨어지게 됩니다 제가 여기저기 여러군데에서 옷을 사는편이라 그런걸까요 물론 앱검색을 통해 쇼핑몰 도입요청을 안넣어본것도 아닙니다 하지만 이건 별로 효과가 없는 듯 하네요 시간이 날때마다 쇼핑몰을 조금씩 추가해주시던지 아니면 쇼핑몰 도입요청에 적극적인 반영을 해주셨으면 하는 바람입니다 (우켓, 크림 치즈) 등등. 그래도 정말 유용하게 잘 사용하고 있습니다 번창하시길",5,5
"브랜드상품들 한번에 모아볼 수 있어서 좋아요. 그런데 상품이미지가 안나오는 것들이 너무 많고 들어가면 not found라고 뜨네요. 그리고 아이템별로 볼 때 트레이닝 인기순으로 보는데 래쉬가드, 수영복들이 너무 많이 올라와 있어요. 이건 비치웨어로 가야할 것 같아요. 상품정리, 카테고리 분류 정리가 필요해 보입니다..",4,11
"브랜드별 옷 분류, 사이트별 분류, 친절한 설명, 이미지 찾기 등 정말 편한 앱이지만 룩북 서비스를 다시 하면 좋을 듯한 앱. 이유는 모르겠다만 작년 종료 됬다는 이유가 좀 아쉬움. 10대지만 비싼 옷 위주로 입어서 나이 선택을 할 때 고민을 좀 했는데 어차피 10,20,30 다 나와있어서 굉장히 편했음 답변 이렇게 성실히 해주시는 앱이라면 앞으로 더 잘될 듯 합니다",4,1
이틀전에 다운받아서 그날은 잘 사용했습니다. 그러고나서 어제 앱을 사용하려 누르니까 '앱이 중지되었습니다'였나? 이런 문구가 뜨더니 실행이 안되더라고요. 그냥 일시적인 오류거나 와이파이가 느려서 그런가하고 넘겼습니다. 오늘 다시 시도해보니 오늘도 역시 어제와 같은 문구가 뜨며 실행이 안되더라고요. 정말 하루 사용하고 좋아서 만족햇는데 그다음날에 바로 그 만족감이 사라졌네요.,1,1
너무너무좋은데 필터적용에서 가격 설정할때 금액을 좀더 세분화했으면 좋겠어요!! 지금은 만원단위로만 설정할 수 있지만 앞으로는 사용자가 직접 금액범위를 적는 방식으로요~,5,18
제품 사진 넘기는 게 너무 불편해요...ㅠㅜ 잘 넘어가지도 않고...ㅠㅠ사진이 잘 넘겨졌으면 좋겠어요. 그리고 위아래로 넘기는 것 보다는 좌우로 넘기는 방식이 더 편리할 것 같습니다!😊. 좋은 앱 잘 쓰고 있습니다,3,15
카테고리 선택에서 제한되는 상품이 생기거나 다른 카테고리를 선택을 하였을때 반복되는 상품이 있는것 같습니다. 그것 빼면 사용하기 매우 편하고 좋네요! 짱짱앱b 굿잡.,5,1
어플 내 이미지검색 기능이 사라졌네요. 이미지검색 때문에 사용하는 어플이였는데 사라지면 더 이상 이 앱을 쓸 이유가 없죠....오류인건지는 모르겠지만 수정 부탁드려요,3,9
"너무 좋아요. 근데 원하는 옷을 검색하고 인기순으로 나열하면 똑같은 상품이 계속 나오는건 좀 아쉽습니다. 이번달 인기순,이번주 인기순 같은 순서대로 볼수있었으면 좋겠어요. 그래도 충분히 잘쓰고 있습니다.",4,15
다양한 쇼핑몰 한곳에 모아 볼 수 있어서 좋음. 다만 몇몇 쇼핑몰은 상품을 클릭해도 그 상품으로 안들어가지고 그냥 브랜드 사이트로만 들어가짐... 이거 빼고는 다 좋음!,4,2
스타일닷컴 쓰기시작한지 꽤 됐는데 너무 좋아서 폰 바꿔도 계속 쓰고있어요~~~ 스타일 닷컴에 익숙해져서 다른 어플은 보기가 불편해서 못쓰겠더라구요ㅠ 비슷한 상품 검색을 가장 유용하게 쓰고있어요!!,5,1
다양한 브랜드가 있어서 좋아요 다만 개인적으로 느끼는 걸수도 있지만 관심상품으로 등록하는 하트버튼을 누를때 약간 렉걸리는 듯한 느낌이 있어서 그것만 아쉽네요,5,5
다 좋은데 요즘 렉이 심한거 같아요. 그리고 제가 옷을 보고있는데 갑자기 화면이 막 멈추더니 찜하지 않은 상품이 찜이 되어 가지고 깜딱 놀래서 확인을 해봤는데 그 상품들은 찜이 안되어있네요....밤에 보는데 무섭습니다..,3,7
패션 모르는 사람들도 한번쯤 보면서 최신 유행이나 감성같은거 기를 수 있는앱.. 괜찮아요 다만 필터 걸러도 제 나이대에 맞는 옷이 안나오는데.. 글고 샾 종류도 별로.. 이거 빼면 설치해볼만 합니다,3,1
이미지 검색이 가능하대서 깔았는데 기능이 없어졌네요. 그럼 앱 기능 소개에서도 이미지 검색기능은 빼야하는 거 아닌가요? 괜히 깔았네....ㅡㅡ,1,8
옷을 보려고 누르면 몇분을 계속 기다려야되고 안들어가지네요. '스타일닷컴은 상품정보 중개자 입니다' 이것만 계속봤네요. 와이파이에도 문제없는데 너무 느려요,3,2
잘쓰다가 얼마전에 지우고 오늘 다시 깔았는데 시작부터 팅겨서 아예 앱 접속이 안되네요...저장용량 와이파이 다 정상이고 지웠다 다시 여러번 시도해도 계속 팅겨요,3,10
좋아요 비슷한상품을 찾을 수있고 이미지로 검색할 수 있어서 좋은데 디자인보다 색위주로만 찾아주는거같아 아쉬워요,4,1
여러 브랜드 다 모아놓고 소개해주고 신상들어오면 알려주는거 진짜 굿 앞으로 여러저러 찾아볼필요없이 스타일닷컴만 이용하면 편한 꿀팁!,5,0
"분류 잘 되어 있고 브랜드랑 소호샵 쇼핑몰이랑 나뉘어져 있어어 좋음. 제일 괜찮은건 역시 분류가 깔끔한 것. 브랜드, 소호샵. 여자, 남자. 10대, 20대, 30대. 그리고 여러 쇼핑몰을 볼 수 있어서 좋음.",4,21
개인적인 의견으론 굉장히 좋은 앱인듯 합니다. 항상 이런 앱에 들어가서 옷 찾으면 제 스타일인 옷 찾기가 힘들고 여러 많은 브랜드들이 없어 여러앱을 깔아 옷을 찾았는데 이 앱에 다 들어가있네요. 너무 만족합니다.,5,54
"제 맘에 드는 옷들을 골라담고, 거기서 제가 좋아하는 취향의 쇼핑몰들을 파악해서 그곳위주로 찾아볼 수 있어요. 어지간한 쇼핑몰들은 다 나와있어서 고를 수 있는 폭도 넓고, 매우 만족합니다.",5,3
좋아요 검색도 잘 되고 간단히 쇼핑몰 둘러보기 좋은거같아요. 즐찾등 편의기능도 짱좋구요!,4,1
여러 쇼핑몰을 한번에 비교할 수 있어서 좋고 무엇보다 좋은건 필터기능 ㅠㅠ 가격이나 종류로 필터적용이 되서 좋아요,4,9
네이버로 로그인하려는데 가입 완료 버튼 안눌려지고 로딩 속도가 느려졌어요(특히 브랜드에 들어가는데 로딩이 너무 오래걸려요),4,1
비슷한 상품 찾을수 있는게 정말 좋아요! 여태까지 브랜드랑 여타 쇼핑몰(소호)을 따로 봤었는데 여기서 다 모아볼 수 있는 점이 편해요!,5,1
좋은데 한 줄당 3칸씩보이니까 잘 안보여서 2칸이나 1칸으로 조절하는 설정있으면 좋을것 같습니다.,5,4
다양하게 볼 수 있어서 좋은거 같아요 다만 브랜드로만 구분하는게 아니라 품목별로도 구분해놨으면 더 좋았을거 같습니다!!,4,3
좋아하는 쇼핑몰들의 세일 정보를 한눈에 볼 수 있어서 좋아요~~~ 상품을 검색할 때 필터에서 마이샵 내에서 검색할 수 있는 것도 있으면 좋겠어요!,5,2
상품없는 곳이 많아요.. 수집중이라지만 물건이 아에 없으면 빼서 브랜드나 소호샾 갯수를 줄여주세요 밑에까지 다 보기 힘들어요 그리고 필터 종류가 너무 적어요 필터하나마나인데 왜만들어놓은건지,3,1
사진검색기능이 있는건 좋지만 갤럭시s7플랫에서는 이미지검색 클릭만해도 종료되요 개선부탁드립니다,3,4
옷을 검색해서 원하는 디자인을 찾을때 편해서 너무좋아요 근데 검색하면 뒤죽박죽으로 나와서 좀아쉽네요 오이랑 브랜드별로 정리되면 좋겠어요,4,6
하나하나 다른싸이트에 들어가서 배송비별도로 구매해야하는게 조금 복잡하네요 ㅠㅠ 그거말고는 다른불편함은없습니다!!,4,1
완전좋은거같아요!!! 옷정보두 이앱으로 다양한 브랜드신상을 손쉽게 볼수있는 편리함이있어요♡,5,1
"비슷한 옷 찾기 기능이 계속 업데이트중이다가 사용가능해져서 눌러봤더니 뜨는옷이 없어요..ㅜㅜ 비슷한 옷 찾기 기능 유용하게 업데이트 해주세요,,",4,1
좋아요 진짜 추천할게요 모든 브랜드 다있고요 자잘한 브랜드들도 많고 브랜드 안에 있는 상춤도 다 있어서 좋아요 필터도 괜찮고요 브랜드 검색뿐만 아닌 옷 종류로 검색할수 있는것도 좋습니다 :),5,0
찾거나 하는데 힘아쉬운점이 있기는해도 많은옷들이있고 종류를 고를수있으며많은 브랜드를 볼수있어서 좋다,4,1
아니 로딩때매 업뎃하고 계속안되서 삭제하고 깔고 반복하다가 되길래 쇼핑하는데 5분쯤 뒤에 갑자기 또 로딩때문에 아무것도 안되는데 진짜 속에서 불날거같아요 왜이래요ㅠ,1,3
앱을 깔고 사용하지않아서 회원탈퇴를 하려고 하는데 계속 오류가 뜨면서 안되네요. 매일매일 시도를 해봐도 계속 오류가 뜹니다. 빨리 고쳐주시면 좋게습니다.,1,19
진짜 와이파이되는데도 로딩이안되고 데이터는아예안되고ㅋㅋㅋ 뭐어쩌라는건지 나만안되는것도아닌거같은데,1,6
진짜 제가 지오다노 바지만 입는데 세일때를 못맞춰서 세일안할때만 샀었는뎈ㅋㅋㅋㅋ스타일닷컴에서 세일 알림 와서 맨날 제때 사고 있어욬ㅋㅋㅋㅋ개이득인 부분이에여~,5,1
다양한 브랜드를 모어 볼 수 있어서 편하고 되게 유용해요❗❗ 근데 MLB는 언제쯤 고쳐지나요?? 조금 기다리기 힘드네요;;ㅎㅎ 그것만 고치면 너무 좋아요!!♡♡,5,6
원하는 옷이 많이 나와있어서 여러 쇼핑몰 별로 비교할 수 있는 점이 마음에 들어요. 앱 잘 쓰고 있어요.,5,8
노트5를 이용하고있는데요 원하는 상품찾아서 볼려니 로딩이 한참 걸리네요 ㅠ 원하는 상품이 있으나 그림에 떡 아쉽지만 별한개 드릴게요.,1,1
여러 브랜드와 그 브랜드들의 옷들을 모아서 볼수 있어서 좋습니다 하지만 똑같은 상품이 여러개 발견이 되는게 조금 아쉽네요,4,2
카테고리. 상세 검색이 없어. 별하나 뺐어요. 검색되는 상품이 부족하지만. 원하는 상품 빨리 찾아서 유용하게 쓸 것 같아요. 카테고리 만들어 주세요.,4,3
