,이름,온도,물,습도,level
0,바나나 크로톤,21~27℃,평균 주 1~2회,40~70%,3
1,코니오그램 에메이엔시스 '골든 제브라',21~25℃,평균 주 1~2회,70% 이상,4
2,베고니아 콘치폴리아,21~25℃,평균 주 1~2회,40~70%,3
3,싱고니움 밀크컨페티,21~25℃,평균 주 1~2회,40~70%,3
4,필로덴드론 옥시카르디움 '브라질',16~26℃,평균 주 1~2회,40~70%,3
5,형광 스킨답서스(네온 스킨답서스),21~25℃,평균 주 1~2회,40~70%,3
6,금황환 선인장,15~30℃,평균 월 1회 이하,40% 이하,1
7,리톱스,18~27℃,평균 월 1회 이하,40% 이하,1
8,제옥 (플레이오스필로스 넬리),18~27℃,평균 월 1회 이하,40% 이하,1
9,라피도포라 디컬시바,16~27℃,평균 주 1~2회,40~70%,3
10,필로덴드론 버럴 막스,16~24℃,평균 주 1~2회,70% 이상,4
11,쉬베리아나 고무나무,21~25°C,평균 주 1~2회,40~70%,3
12,싱고니움 실버 드워프,21~25℃,평균 주 1~2회,40~70%,3
13,꽃 베고니아,21~25℃,평균 주 1~2회,40~70%,3
14,목성 베고니아,21~25℃,평균 주 1~2회,40~70%,3
15,필로덴드론 콩고,20~24℃,평균 주 1~2회,40~70%,3
16,필로덴드론 파스타짜넘,18~26℃,평균 주 1~2회,70% 이상,4
17,필로덴드론 낭가리텐스,18~27℃,평균 주 1~2회,40~70%,3
18,피어리스 (시기지움),15~25℃,평균 주 1~2회,40~70%,3
19,아글라오네마 스노우 사파이어,21~25℃,평균 주 1~2회,40~70%,3
20,디펜바키아 마리안느,21~25℃,평균 주 1~2회,40~70%,3
21,칼라데아 뷰티스타,21~25℃,평균 주 1~2회,70% 이상,4
22,칼라데아 마코야나,21~25℃,평균 주 1~2회,70% 이상,4
23,싱고니움 그린 스플래쉬,21~25℃,평균 주 1~2회,40~70%,3
24,인도 고무나무,21~25℃,평균 주 1~2회,40~70%,3
25,무늬 벤자민 고무나무,21~25℃,평균 주 1~2회,40~70%,3
26,필로덴드론 글로리오섬,18~26℃,평균 주 1~2회,70% 이상,4
27,피토니아 (휘토니아),15~25℃,평균 주 1~2회,40~70%,3
28,소코라코 (브레이니아 니보사),18~25℃,평균 주 1~2회,40~70%,3
29,오렌지 자스민,15~25℃,평균 주 1~2회,40~70%,3
30,청페페,18~27℃,평균 주 1~2회,40~70%,3
31,칼라디움,21~25℃,평균 주 1~2회,70% 이상,4
32,카네이션,15~21℃,평균 주 1~2회,40~70%,3
33,유칼립투스 구니,18~25℃,평균 주 1~2회,40~70%,3
34,만세 선인장,15~30℃,평균 월 1회 이하,40% 이하,1
35,녹탑,15~25℃,평균 월 1~2회,40~70%,2
